DBKEY,SITE,STATION,DATA_TYPE,PARAMETER_NAME,STRATA,SENSOR,XCOORD,YCOORD,STATION_ID,RECORDER,DATA_CLASS,DAILY_DATE,VALUE,NUM_VALS,Date,Month,year,Parameter_format,Concern_1,Concern_2
39724,L005,L005-S,H2OT,"Temperature, Water",1,S,665163.421,953445.572,L005+WT1,SOND,WQ,05/24/2024,30.644,50,2024-05-24,5,2024,"Temperature, Water",NA,NA
39724,L005,L005-S,H2OT,"Temperature, Water",1,S,665163.421,953445.572,L005+WT1,SOND,WQ,05/25/2024,30.499,44,2024-05-25,5,2024,"Temperature, Water",NA,NA
39724,L005,L005-S,H2OT,"Temperature, Water",1,S,665163.421,953445.572,L005+WT1,SOND,WQ,05/26/2024,30.889,48,2024-05-26,5,2024,"Temperature, Water",NA,NA
39724,L005,L005-S,H2OT,"Temperature, Water",1,S,665163.421,953445.572,L005+WT1,SOND,WQ,05/27/2024,31.829,50,2024-05-27,5,2024,"Temperature, Water",NA,NA
39724,L005,L005-S,H2OT,"Temperature, Water",1,S,665163.421,953445.572,L005+WT1,SOND,WQ,05/28/2024,31.548,48,2024-05-28,5,2024,"Temperature, Water",NA,NA
39724,L005,L005-S,H2OT,"Temperature, Water",1,S,665163.421,953445.572,L005+WT1,SOND,WQ,05/29/2024,31.545,48,2024-05-29,5,2024,"Temperature, Water",NA,NA
39724,L005,L005-S,H2OT,"Temperature, Water",1,S,665163.421,953445.572,L005+WT1,SOND,WQ,05/30/2024,31.273,48,2024-05-30,5,2024,"Temperature, Water",NA,NA
39724,L005,L005-S,H2OT,"Temperature, Water",1,S,665163.421,953445.572,L005+WT1,SOND,WQ,05/31/2024,30.516,44,2024-05-31,5,2024,"Temperature, Water",NA,NA
39724,L005,L005-S,H2OT,"Temperature, Water",1,S,665163.421,953445.572,L005+WT1,SOND,WQ,06/01/2024,28.883,48,2024-06-01,6,2024,"Temperature, Water",NA,NA
39724,L005,L005-S,H2OT,"Temperature, Water",1,S,665163.421,953445.572,L005+WT1,SOND,WQ,06/02/2024,28.295,48,2024-06-02,6,2024,"Temperature, Water",NA,NA
39724,L005,L005-S,H2OT,"Temperature, Water",1,S,665163.421,953445.572,L005+WT1,SOND,WQ,06/03/2024,28.906,48,2024-06-03,6,2024,"Temperature, Water",NA,NA
39724,L005,L005-S,H2OT,"Temperature, Water",1,S,665163.421,953445.572,L005+WT1,SOND,WQ,06/04/2024,29.38,48,2024-06-04,6,2024,"Temperature, Water",NA,NA
39724,L005,L005-S,H2OT,"Temperature, Water",1,S,665163.421,953445.572,L005+WT1,SOND,WQ,06/05/2024,30.465,46,2024-06-05,6,2024,"Temperature, Water",NA,NA
39724,L005,L005-S,H2OT,"Temperature, Water",1,S,665163.421,953445.572,L005+WT1,SOND,WQ,06/06/2024,30.665,48,2024-06-06,6,2024,"Temperature, Water",NA,NA
39724,L005,L005-S,H2OT,"Temperature, Water",1,S,665163.421,953445.572,L005+WT1,SOND,WQ,06/07/2024,30.604,48,2024-06-07,6,2024,"Temperature, Water",NA,NA
39724,L005,L005-S,H2OT,"Temperature, Water",1,S,665163.421,953445.572,L005+WT1,SOND,WQ,06/08/2024,30.396,48,2024-06-08,6,2024,"Temperature, Water",NA,NA
39724,L005,L005-S,H2OT,"Temperature, Water",1,S,665163.421,953445.572,L005+WT1,SOND,WQ,06/09/2024,30.762,48,2024-06-09,6,2024,"Temperature, Water",NA,NA
39724,L005,L005-S,H2OT,"Temperature, Water",1,S,665163.421,953445.572,L005+WT1,SOND,WQ,06/10/2024,30.563,48,2024-06-10,6,2024,"Temperature, Water",NA,NA
39724,L005,L005-S,H2OT,"Temperature, Water",1,S,665163.421,953445.572,L005+WT1,SOND,WQ,06/11/2024,29.65,48,2024-06-11,6,2024,"Temperature, Water",NA,NA
39724,L005,L005-S,H2OT,"Temperature, Water",1,S,665163.421,953445.572,L005+WT1,SOND,WQ,06/12/2024,27.947,41,2024-06-12,6,2024,"Temperature, Water",NA,NA
39724,L005,L005-S,H2OT,"Temperature, Water",1,S,665163.421,953445.572,L005+WT1,SOND,WQ,06/13/2024,27.069,47,2024-06-13,6,2024,"Temperature, Water",NA,NA
39724,L005,L005-S,H2OT,"Temperature, Water",1,S,665163.421,953445.572,L005+WT1,SOND,WQ,06/14/2024,27.315,48,2024-06-14,6,2024,"Temperature, Water",NA,NA
39724,L005,L005-S,H2OT,"Temperature, Water",1,S,665163.421,953445.572,L005+WT1,SOND,WQ,06/15/2024,27.742,47,2024-06-15,6,2024,"Temperature, Water",NA,NA
39724,L005,L005-S,H2OT,"Temperature, Water",1,S,665163.421,953445.572,L005+WT1,SOND,WQ,06/16/2024,28.41,44,2024-06-16,6,2024,"Temperature, Water",NA,NA
39724,L005,L005-S,H2OT,"Temperature, Water",1,S,665163.421,953445.572,L005+WT1,SOND,WQ,06/17/2024,28.915,48,2024-06-17,6,2024,"Temperature, Water",NA,NA
39724,L005,L005-S,H2OT,"Temperature, Water",1,S,665163.421,953445.572,L005+WT1,SOND,WQ,06/18/2024,28.9,48,2024-06-18,6,2024,"Temperature, Water",NA,NA
39724,L005,L005-S,H2OT,"Temperature, Water",1,S,665163.421,953445.572,L005+WT1,SOND,WQ,06/19/2024,28.807,46,2024-06-19,6,2024,"Temperature, Water",NA,NA
39724,L005,L005-S,H2OT,"Temperature, Water",1,S,665163.421,953445.572,L005+WT1,SOND,WQ,06/20/2024,28.871,48,2024-06-20,6,2024,"Temperature, Water",NA,NA
39724,L005,L005-S,H2OT,"Temperature, Water",1,S,665163.421,953445.572,L005+WT1,SOND,WQ,06/21/2024,30.074,48,2024-06-21,6,2024,"Temperature, Water",NA,NA
39724,L005,L005-S,H2OT,"Temperature, Water",1,S,665163.421,953445.572,L005+WT1,SOND,WQ,06/22/2024,30.034,22,2024-06-22,6,2024,"Temperature, Water",NA,NA
39727,L005,L005-S,FTURB,FIELD TURBIDITY,1,S,665163.421,953445.572,L005+TB1,SOND,WQ,05/24/2024,2.759,50,2024-05-24,5,2024,FIELD TURBIDITY,NA,NA
39727,L005,L005-S,FTURB,FIELD TURBIDITY,1,S,665163.421,953445.572,L005+TB1,SOND,WQ,05/25/2024,7.185,44,2024-05-25,5,2024,FIELD TURBIDITY,NA,NA
39727,L005,L005-S,FTURB,FIELD TURBIDITY,1,S,665163.421,953445.572,L005+TB1,SOND,WQ,05/26/2024,0.356,48,2024-05-26,5,2024,FIELD TURBIDITY,NA,NA
39727,L005,L005-S,FTURB,FIELD TURBIDITY,1,S,665163.421,953445.572,L005+TB1,SOND,WQ,05/27/2024,6.596,50,2024-05-27,5,2024,FIELD TURBIDITY,NA,NA
39727,L005,L005-S,FTURB,FIELD TURBIDITY,1,S,665163.421,953445.572,L005+TB1,SOND,WQ,05/28/2024,9.833,48,2024-05-28,5,2024,FIELD TURBIDITY,NA,NA
39727,L005,L005-S,FTURB,FIELD TURBIDITY,1,S,665163.421,953445.572,L005+TB1,SOND,WQ,05/29/2024,8.472,48,2024-05-29,5,2024,FIELD TURBIDITY,NA,NA
39727,L005,L005-S,FTURB,FIELD TURBIDITY,1,S,665163.421,953445.572,L005+TB1,SOND,WQ,05/30/2024,5.641,48,2024-05-30,5,2024,FIELD TURBIDITY,NA,NA
39727,L005,L005-S,FTURB,FIELD TURBIDITY,1,S,665163.421,953445.572,L005+TB1,SOND,WQ,05/31/2024,22.358,44,2024-05-31,5,2024,FIELD TURBIDITY,NA,NA
39727,L005,L005-S,FTURB,FIELD TURBIDITY,1,S,665163.421,953445.572,L005+TB1,SOND,WQ,06/01/2024,23.188,47,2024-06-01,6,2024,FIELD TURBIDITY,NA,NA
39727,L005,L005-S,FTURB,FIELD TURBIDITY,1,S,665163.421,953445.572,L005+TB1,SOND,WQ,06/02/2024,16.423,48,2024-06-02,6,2024,FIELD TURBIDITY,NA,NA
39727,L005,L005-S,FTURB,FIELD TURBIDITY,1,S,665163.421,953445.572,L005+TB1,SOND,WQ,06/03/2024,34.154,45,2024-06-03,6,2024,FIELD TURBIDITY,NA,NA
39727,L005,L005-S,FTURB,FIELD TURBIDITY,1,S,665163.421,953445.572,L005+TB1,SOND,WQ,06/04/2024,46.794,47,2024-06-04,6,2024,FIELD TURBIDITY,NA,NA
39727,L005,L005-S,FTURB,FIELD TURBIDITY,1,S,665163.421,953445.572,L005+TB1,SOND,WQ,06/05/2024,30.947,45,2024-06-05,6,2024,FIELD TURBIDITY,NA,NA
39727,L005,L005-S,FTURB,FIELD TURBIDITY,1,S,665163.421,953445.572,L005+TB1,SOND,WQ,06/06/2024,15.451,47,2024-06-06,6,2024,FIELD TURBIDITY,NA,NA
39727,L005,L005-S,FTURB,FIELD TURBIDITY,1,S,665163.421,953445.572,L005+TB1,SOND,WQ,06/07/2024,22.713,48,2024-06-07,6,2024,FIELD TURBIDITY,NA,NA
39727,L005,L005-S,FTURB,FIELD TURBIDITY,1,S,665163.421,953445.572,L005+TB1,SOND,WQ,06/08/2024,25.258,48,2024-06-08,6,2024,FIELD TURBIDITY,NA,NA
39727,L005,L005-S,FTURB,FIELD TURBIDITY,1,S,665163.421,953445.572,L005+TB1,SOND,WQ,06/09/2024,26.617,48,2024-06-09,6,2024,FIELD TURBIDITY,NA,NA
39727,L005,L005-S,FTURB,FIELD TURBIDITY,1,S,665163.421,953445.572,L005+TB1,SOND,WQ,06/10/2024,32.54,48,2024-06-10,6,2024,FIELD TURBIDITY,NA,NA
39727,L005,L005-S,FTURB,FIELD TURBIDITY,1,S,665163.421,953445.572,L005+TB1,SOND,WQ,06/11/2024,51.888,48,2024-06-11,6,2024,FIELD TURBIDITY,NA,NA
39727,L005,L005-S,FTURB,FIELD TURBIDITY,1,S,665163.421,953445.572,L005+TB1,SOND,WQ,06/12/2024,60.524,41,2024-06-12,6,2024,FIELD TURBIDITY,NA,NA
39727,L005,L005-S,FTURB,FIELD TURBIDITY,1,S,665163.421,953445.572,L005+TB1,SOND,WQ,06/13/2024,56.914,47,2024-06-13,6,2024,FIELD TURBIDITY,NA,NA
